"X","Y","Z","K","W","uu","uv","uw","vv","vw","ww","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,16.068,0.65,-1.1704e-06
16.068,0.65,0.032135,0.00016112,1.1057,5.3248e-05,-1.295e-05,-1.423e-05,5.9608e-05,3.2136e-06,0.00020938,1,0.032136,16.068,0.65,0.032135
16.068,0.65,0.064271,0.00016112,1.1057,5.3248e-05,-1.295e-05,-1.423e-05,5.9608e-05,3.2136e-06,0.00020938,1,0.064272,16.068,0.65,0.064271
16.068,0.65,0.096407,0.00021795,1.1068,8.5373e-05,-1.3113e-05,1.1214e-05,9.5834e-05,-3.3763e-07,0.00025469,1,0.096408,16.068,0.65,0.096407
16.068,0.65,0.12854,0.00021795,1.1068,8.5373e-05,-1.3113e-05,1.1214e-05,9.5834e-05,-3.3763e-07,0.00025469,1,0.12854,16.068,0.65,0.12854
16.068,0.65,0.16068,0.00025666,1.107,8.2413e-05,-1.2195e-05,1.2384e-05,9.1321e-05,-7.9219e-06,0.00033959,1,0.16068,16.068,0.65,0.16068
16.068,0.65,0.19281,0.00025666,1.107,8.2413e-05,-1.2195e-05,1.2384e-05,9.1321e-05,-7.9219e-06,0.00033959,1,0.19282,16.068,0.65,0.19281
16.068,0.65,0.22495,0.00025666,1.107,8.2413e-05,-1.2195e-05,1.2384e-05,9.1321e-05,-7.9219e-06,0.00033959,1,0.22495,16.068,0.65,0.22495
16.068,0.65,0.25709,0.00023176,1.1071,8.1143e-05,-1.2358e-05,-1.2456e-06,9.5709e-05,-6.9427e-06,0.00028666,1,0.25709,16.068,0.65,0.25709
16.068,0.65,0.28922,0.00023176,1.1071,8.1143e-05,-1.2358e-05,-1.2456e-06,9.5709e-05,-6.9427e-06,0.00028666,1,0.28922,16.068,0.65,0.28922
16.068,0.65,0.32136,0.00023641,1.1073,7.8764e-05,-1.0646e-05,6.6463e-06,9.0041e-05,-4.0694e-06,0.00030402,1,0.32136,16.068,0.65,0.32136
16.068,0.65,0.35349,0.00023641,1.1073,7.8764e-05,-1.0646e-05,6.6463e-06,9.0041e-05,-4.0694e-06,0.00030402,1,0.3535,16.068,0.65,0.35349
16.068,0.65,0.38563,0.00023115,1.1073,7.7091e-05,-9.8969e-06,2.4112e-06,9.5394e-05,-1.4314e-06,0.00028981,1,0.38563,16.068,0.65,0.38563
