"X","Y","Z","K","W","uu","uv","uw","vv","vw","ww","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.7763e-21,0.65,14.106,0.0011355,1.2532,0.00030197,4.8584e-05,-6.1597e-05,0.00068431,-0.00035884,0.0012848,1,0,0,0.65,14.106
0.032,0.65,14.106,0.0011355,1.2532,0.00030197,4.8584e-05,-6.1597e-05,0.00068431,-0.00035884,0.0012848,1,0.032,0.032,0.65,14.106
0.064,0.65,14.106,0.0011355,1.2532,0.00030197,4.8584e-05,-6.1597e-05,0.00068431,-0.00035884,0.0012848,1,0.064,0.064,0.65,14.106
0.096,0.65,14.106,0.00083899,1.2757,0.00063325,-1.7846e-05,2.1388e-05,0.00051188,-6.9627e-05,0.00053285,1,0.096,0.096,0.65,14.106
0.128,0.65,14.106,0.00083899,1.2757,0.00063325,-1.7846e-05,2.1388e-05,0.00051188,-6.9627e-05,0.00053285,1,0.128,0.128,0.65,14.106
0.16,0.65,14.106,0.0010154,1.2711,0.00047239,-1.8891e-05,7.863e-05,0.00031498,-0.00015822,0.0012435,1,0.16,0.16,0.65,14.106
0.192,0.65,14.106,0.0010154,1.2711,0.00047239,-1.8891e-05,7.863e-05,0.00031498,-0.00015822,0.0012435,1,0.192,0.192,0.65,14.106
0.224,0.65,14.106,0.0010154,1.2711,0.00047239,-1.8891e-05,7.863e-05,0.00031498,-0.00015822,0.0012435,1,0.224,0.224,0.65,14.106
0.256,0.65,14.106,0.0010709,1.2742,0.00049944,-8.8136e-06,3.0302e-05,0.00033037,-9.572e-05,0.0013119,1,0.256,0.256,0.65,14.106
0.288,0.65,14.106,0.0010709,1.2742,0.00049944,-8.8136e-06,3.0302e-05,0.00033037,-9.572e-05,0.0013119,1,0.288,0.288,0.65,14.106
0.32,0.65,14.106,0.0011113,1.2718,0.00051085,-1.8656e-06,2.9158e-05,0.00029881,-0.00011803,0.0014128,1,0.32,0.32,0.65,14.106
0.352,0.65,14.106,0.0011113,1.2718,0.00051085,-1.8656e-06,2.9158e-05,0.00029881,-0.00011803,0.0014128,1,0.352,0.352,0.65,14.106
0.384,0.65,14.106,0.0010078,1.2749,0.00046224,-1.3247e-05,2.4459e-05,0.00034464,-0.000102,0.0012087,1,0.384,0.384,0.65,14.106
0.416,0.65,14.106,0.0010078,1.2749,0.00046224,-1.3247e-05,2.4459e-05,0.00034464,-0.000102,0.0012087,1,0.416,0.416,0.65,14.106
0.448,0.65,14.106,0.0010078,1.2749,0.00046224,-1.3247e-05,2.4459e-05,0.00034464,-0.000102,0.0012087,1,0.448,0.448,0.65,14.106
0.48,0.65,14.106,0.0011072,1.2703,0.00053078,-1.0809e-05,7.9342e-05,0.00037693,-8.4773e-05,0.0013068,1,0.48,0.48,0.65,14.106
0.512,0.65,14.106,0.0011072,1.2703,0.00053078,-1.0809e-05,7.9342e-05,0.00037693,-8.4773e-05,0.0013068,1,0.512,0.512,0.65,14.106
0.544,0.65,14.106,0.0010879,1.2757,0.00046817,-7.6304e-06,2.8293e-05,0.00037186,-8.4548e-05,0.0013358,1,0.544,0.544,0.65,14.106
0.576,0.65,14.106,0.0010879,1.2757,0.00046817,-7.6304e-06,2.8293e-05,0.00037186,-8.4548e-05,0.0013358,1,0.576,0.576,0.65,14.106
0.608,0.65,14.106,0.0011851,1.2714,0.00050051,-7.9953e-07,2.3105e-05,0.00039895,-0.00011047,0.0014707,1,0.608,0.608,0.65,14.106
0.64,0.65,14.106,0.0011851,1.2714,0.00050051,-7.9953e-07,2.3105e-05,0.00039895,-0.00011047,0.0014707,1,0.64,0.64,0.65,14.106
0.672,0.65,14.106,0.0010736,1.2755,0.00054806,-2.5401e-06,-1.4589e-05,0.00033528,-8.0518e-05,0.0012639,1,0.672,0.672,0.65,14.106
0.704,0.65,14.106,0.0010736,1.2755,0.00054806,-2.5401e-06,-1.4589e-05,0.00033528,-8.0518e-05,0.0012639,1,0.704,0.704,0.65,14.106
0.736,0.65,14.106,0.0013412,1.2678,0.00047668,1.7409e-05,4.7721e-06,0.00039216,-0.00012182,0.0018135,1,0.736,0.736,0.65,14.106
0.768,0.65,14.106,0.0013412,1.2678,0.00047668,1.7409e-05,4.7721e-06,0.00039216,-0.00012182,0.0018135,1,0.768,0.768,0.65,14.106
