"Points:0","Points:1","Points:2","X","Y"
-7.8849e-05,-0.28544,14.106,-7.8849e-05,-0.28544
0.07629,-0.28544,14.106,0.07629,-0.28544
0.15198,-0.28544,14.106,0.15198,-0.28544
0.22699,-0.28544,14.106,0.22699,-0.28544
0.30135,-0.28544,14.106,0.30135,-0.28544
0.37505,-0.28544,14.106,0.37505,-0.28544
0.44811,-0.28544,14.106,0.44811,-0.28544
0.52054,-0.28544,14.106,0.52054,-0.28544
0.59234,-0.28544,14.106,0.59234,-0.28544
0.66353,-0.28544,14.106,0.66353,-0.28544
0.73411,-0.28544,14.106,0.73411,-0.28544
0.80408,-0.28544,14.106,0.80408,-0.28544
0.87347,-0.28544,14.106,0.87347,-0.28544
0.94228,-0.28544,14.106,0.94228,-0.28544
1.0105,-0.28544,14.106,1.0105,-0.28544
1.0782,-0.28544,14.106,1.0782,-0.28544
1.1453,-0.28544,14.106,1.1453,-0.28544
1.2118,-0.28544,14.106,1.2118,-0.28544
1.2778,-0.28544,14.106,1.2778,-0.28544
1.3433,-0.28544,14.106,1.3433,-0.28544
1.4082,-0.28544,14.106,1.4082,-0.28544
1.4727,-0.28544,14.106,1.4727,-0.28544
1.5365,-0.28544,14.106,1.5365,-0.28544
1.5999,-0.28544,14.106,1.5999,-0.28544
1.6628,-0.28544,14.106,1.6628,-0.28544
1.7252,-0.28544,14.106,1.7252,-0.28544
1.7871,-0.28544,14.106,1.7871,-0.28544
1.8485,-0.28544,14.106,1.8485,-0.28544
1.9095,-0.28544,14.106,1.9095,-0.28544
1.9699,-0.28544,14.106,1.9699,-0.28544
2.0299,-0.28544,14.106,2.0299,-0.28544
2.0895,-0.28544,14.106,2.0895,-0.28544
2.1486,-0.28544,14.106,2.1486,-0.28544
2.2072,-0.28544,14.106,2.2072,-0.28544
2.2654,-0.28544,14.106,2.2654,-0.28544
2.3232,-0.28544,14.106,2.3232,-0.28544
2.3805,-0.28544,14.106,2.3805,-0.28544
2.4374,-0.28544,14.106,2.4374,-0.28544
2.4939,-0.28544,14.106,2.4939,-0.28544
2.5499,-0.28544,14.106,2.5499,-0.28544
2.6056,-0.28544,14.106,2.6056,-0.28544
2.6609,-0.28544,14.106,2.6609,-0.28544
2.7157,-0.28544,14.106,2.7157,-0.28544
2.7702,-0.28544,14.106,2.7702,-0.28544
2.8242,-0.28544,14.106,2.8242,-0.28544
2.8779,-0.28544,14.106,2.8779,-0.28544
2.9312,-0.28544,14.106,2.9312,-0.28544
2.9841,-0.28544,14.106,2.9841,-0.28544
3.0367,-0.28544,14.106,3.0367,-0.28544
3.0888,-0.28544,14.106,3.0888,-0.28544
3.1406,-0.28544,14.106,3.1406,-0.28544
3.1921,-0.28544,14.106,3.1921,-0.28544
3.2432,-0.28544,14.106,3.2432,-0.28544
3.2939,-0.28544,14.106,3.2939,-0.28544
3.3443,-0.28544,14.106,3.3443,-0.28544
3.3944,-0.28544,14.106,3.3944,-0.28544
3.4441,-0.28544,14.106,3.4441,-0.28544
3.4935,-0.28544,14.106,3.4935,-0.28544
3.5425,-0.28544,14.106,3.5425,-0.28544
3.5912,-0.28544,14.106,3.5912,-0.28544
3.6396,-0.28544,14.106,3.6396,-0.28544
3.6877,-0.28544,14.106,3.6877,-0.28544
3.7355,-0.28544,14.106,3.7355,-0.28544
3.7829,-0.28544,14.106,3.7829,-0.28544
3.8301,-0.28544,14.106,3.8301,-0.28544
3.8769,-0.28544,14.106,3.8769,-0.28544
3.9234,-0.28544,14.106,3.9234,-0.28544
